date,is_start_semester,is_end_semester,is_exam,is_vacation,is_festival,is_holiday_or_no_class
2026-03-03,1,0,0,0,0,0
2026-04-20,0,0,1,0,0,0
2026-04-21,0,0,1,0,0,0
2026-04-22,0,0,1,0,0,0
2026-04-23,0,0,1,0,0,0
2026-04-24,0,0,1,0,0,0
2026-06-15,0,0,1,0,0,0
2026-06-16,0,0,1,0,0,0
2026-06-17,0,0,1,0,0,0
2026-06-18,0,0,1,0,0,0
2026-06-19,0,0,1,0,0,0
2026-07-01,1,0,0,0,0,0
2026-07-22,0,1,0,0,0,0
2026-09-01,1,0,0,0,0,0
2026-10-20,0,0,1,0,0,0
2026-10-21,0,0,1,0,0,0
2026-10-22,0,0,1,0,0,0
2026-10-23,0,0,1,0,0,0
2026-10-24,0,0,1,0,0,0
2026-10-25,0,0,1,0,0,0
2026-10-26,0,0,1,0,0,0
2026-12-15,0,0,1,0,0,0
2026-12-16,0,0,1,0,0,0
2026-12-17,0,0,1,0,0,0
2026-12-18,0,0,1,0,0,0
2026-12-19,0,0,1,0,0,0
2026-12-20,0,0,1,0,0,0
2026-12-21,0,0,1,0,0,0
2027-01-04,1,0,0,0,0,0
2027-01-22,0,1,0,0,0,0
