date,event
260303,"2026년도 1학기 개강, 입학식"
260420,2026년도 1학기 중간고사
260421,2026년도 1학기 중간고사
260422,2026년도 1학기 중간고사
260423,2026년도 1학기 중간고사
260424,2026년도 1학기 중간고사
260615,2026년도 1학기 기말고사
260616,2026년도 1학기 기말고사
260617,2026년도 1학기 기말고사
260618,2026년도 1학기 기말고사
260619,2026년도 1학기 기말고사
260701,2026년도 하계 계절학기 개강
260722,2026년도 하계 계절학기 종강
260901,"2026년도 2학기 개강, 입학식"
261020,2026년도 2학기 중간고사
261021,2026년도 2학기 중간고사
261022,2026년도 2학기 중간고사
261023,2026년도 2학기 중간고사
261024,2026년도 2학기 중간고사
261025,2026년도 2학기 중간고사
261026,2026년도 2학기 중간고사
261215,2026년도 2학기 기말고사
261216,2026년도 2학기 기말고사
261217,2026년도 2학기 기말고사
261218,2026년도 2학기 기말고사
261219,2026년도 2학기 기말고사
261220,2026년도 2학기 기말고사
261221,2026년도 2학기 기말고사
270104,2026년도 동계 계절학기 개강
270122,2026년도 동계 계절학기 종강
